time,text,sentiment
2020-07-18 13:33:36,b'Joe Biden aventaja a Donald Trump por 15 puntos en encuestas.  https://t.co/TrTJnZ46nf',neutral
2020-07-18 13:33:36,b'@mariamariaxo1 And USA Today https://t.co/HUskvrQZny',neutral
2020-07-18 13:33:36,"b""@EricTrump I bet #Biden won't be doing #THIS #EricTrump!\n\nhttps://t.co/yCgG8DW7dB""",neutral
2020-07-18 13:33:36,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:35,b'@rabizasi @sanchezcastejon @POTUS @realDonaldTrump \xc3\x89s significatiu que Pedro S\xc3\xa1nchez tingui com a referents dos fei\xe2\x80\xa6 https://t.co/Njpxi7lBvy',neutral
2020-07-18 13:33:35,b'RT @JoyAnnReid: Donald Trump has now activated the \xe2\x80\x9csecret police\xe2\x80\x9d setting in the autocrat\xe2\x80\x99s playbook. #PortlandKidnappings #PortlandProtes\xe2\x80\xa6',negative
2020-07-18 13:33:35,b'RT @thomaskaine5: \xe2\x80\x98Donald Trump\xe2\x80\x99s secret police\xe2\x80\x99: Portland fears a federal \xe2\x80\x98occupying army\xe2\x80\x99 violating citizens\xe2\x80\x99 constitutional rights https\xe2\x80\xa6',negative
2020-07-18 13:33:35,"b'RT @proceso: En los \xc3\xbaltimos cuatro a\xc3\xb1os, las empresas del multimillonario Ricardo Salinas Pliego en Estados Unidos han aportado m\xc3\xa1s 570 mil\xe2\x80\xa6'",neutral
2020-07-18 13:33:34,b'RT @FrontalAssault1: US President Donald Trump might use International Emergency Economic Powers Act to ban Tiktok in US. This act gives th\xe2\x80\xa6',positive
2020-07-18 13:33:34,"b""RT @joncoopertweets: FUN FACT: Mary Trump's tell-all book about her uncle Donald sold nearly one million copies by the first day of release\xe2\x80\xa6""",positive
2020-07-18 13:33:34,"b'RT @susansaga1: This is not just civil unrest, not even just a civil war. \n\nThis is a world war, a spiritual battle. \n\nThe NWO needs to tak\xe2\x80\xa6'",neutral
2020-07-18 13:33:34,"b'RT @proceso: En los \xc3\xbaltimos cuatro a\xc3\xb1os, las empresas del multimillonario Ricardo Salinas Pliego en Estados Unidos han aportado m\xc3\xa1s 570 mil\xe2\x80\xa6'",neutral
2020-07-18 13:33:33,"b""RT @salad0s: @JoeBiden Donald Trump released 2 years of his taxes when he wanted to open a casino, and it showed that he hadn't paid them.\xe2\x80\xa6""",neutral
2020-07-18 13:33:33,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:33,"b'O v\xc3\xadrus chin\xc3\xaas tem data para acabar, dia 5 de novembro. Nas elei\xc3\xa7\xc3\xb5es americanas. O Partido Comunista Chin\xc3\xaas assolou\xe2\x80\xa6 https://t.co/eheVsL03My'",neutral
2020-07-18 13:33:33,b'RT @Fly_Sistah: @SteveSchmidtSES Better. Pass the Voting Rights bill on Mcconnells desk. McConnell waged a decades long fight against liter\xe2\x80\xa6',positive
2020-07-18 13:33:33,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:33,"b""RT @SenDuckworth: Three weeks. \n\nIt's been three weeks since the American people learned Putin reportedly offered bounties for the killing\xe2\x80\xa6""",neutral
2020-07-18 13:33:33,"b'RT @KimMangone: Kevin McCarthy called vote by mail disgusting. My opponent isn\xe2\x80\x99t afraid of fraud, he\xe2\x80\x99s afraid of Donald Trump losing.'",negative
2020-07-18 13:33:32,"b'RT @EsotericExposal: Both Donald Trump and Hillary Clinton are related to John of Gaunt, a 14th century royal who was the first Duke of Lan\xe2\x80\xa6'",positive
2020-07-18 13:33:32,"b'RT @MarkJam92731126: @ProjectLincoln Russia paid to have our soldiers in Afghanistan killed. Donald Trump knew about it, and he hasn\xe2\x80\x99t done\xe2\x80\xa6'",negative
2020-07-18 13:33:32,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:32,b'RT @whiskyfoxtrotta: @kitchen5203 Just in case ANYONE feels the urge to give this festering pile of pig dung and his putrid spawn the benef\xe2\x80\xa6',neutral
2020-07-18 13:33:32,b'@DFBbear @gregsandiego @DerekJShaffer Du hast doch auch nur zitiert. Und erwartest von mir Beweise?\nWas h\xc3\xa4lst Du z.\xe2\x80\xa6 https://t.co/HReet0UDzo',neutral
2020-07-18 13:33:31,"b""RT @Blue_Texas2020: Donald Trump isn't 1/100th a man as John Lewis.""",neutral
2020-07-18 13:33:31,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:33:31,b'RT @DearAuntCrabby: Secret Audio Resurfaced And It Showed Representative Devin Nunes Apparently Saying Protecting Donald Trump Is More Impo\xe2\x80\xa6',positive
2020-07-18 13:33:31,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:30,b'RT @AyannaPressley: Remember when Donald J. Trump was impeached by the United States House of Representatives?',neutral
2020-07-18 13:33:30,"b""RT @donwinslow: Don't believe anything Donald Trump or The White House tells you.""",neutral
